feature,importance,method,modality
CDRSB,0.25474233217821735,tree_feature_importance,cognitive
FAQ_bl,0.1416299719866853,tree_feature_importance,cognitive
ADAS13,0.09343789320958457,tree_feature_importance,cognitive
MMSE,0.08920594240176764,tree_feature_importance,cognitive
ADAS11,0.0667293267369361,tree_feature_importance,cognitive
RAVLT_immediate,0.05501980831331597,tree_feature_importance,cognitive
RAVLT_perc_forgetting,0.0539539005789442,tree_feature_importance,cognitive
Hippocampus,0.03444175290326126,tree_feature_importance,mri_derived
AGE,0.027834525500143877,tree_feature_importance,demographic
RAVLT_learning,0.024286568544778984,tree_feature_importance,cognitive
Ventricles,0.021985643145175447,tree_feature_importance,mri_derived
RAVLT_forgetting,0.0211896562988187,tree_feature_importance,cognitive
MidTemp,0.020023518636084807,tree_feature_importance,mri_derived
WholeBrain,0.018158818443952267,tree_feature_importance,mri_derived
ICV,0.017605075639962053,tree_feature_importance,mri_derived
Entorhinal,0.01682640066375057,tree_feature_importance,mri_derived
PTEDUCAT,0.01406345274414628,tree_feature_importance,demographic
Fusiform,0.013156816914592513,tree_feature_importance,mri_derived
APOE4,0.008523438649000703,tree_feature_importance,genetic
PTGENDER_Female,0.003829855875292109,tree_feature_importance,demographic
PTGENDER_Male,0.0033553006355889975,tree_feature_importance,demographic
