masked_modality,accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,model,seed,n_features,features,task_mode,macro_f1_drop
none,0.9115549215406562,0.8671743562738823,0.8102977251028606,0.8390945877405047,0.9652562402448598,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.0
cognitive,0.5977175463623395,0.33096366508688785,0.2572130141190915,0.05653659654079657,0.5711925208561629,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.5530847109837691
mri_derived,0.9229671897289586,0.8813802136077018,0.8287334886517289,0.858772175275617,0.9728971045200007,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,-0.018435763548868334
genetic,0.9015691868758916,0.863820364294298,0.7984695461552375,0.822294313447422,0.9669878596274456,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.011828178947623114
demographic,0.891583452211127,0.8627334224490623,0.7885543561509226,0.807332614874981,0.9619595221843795,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.021743368951937958
none,0.9144736842105263,0.8727253612879267,0.8242371163118825,0.844407978658066,0.9762338768539623,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.0
cognitive,0.5842105263157895,0.3238512035010941,0.2738205365402405,0.15759344483106963,0.6434327323342335,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.5504165797716419
mri_derived,0.9026315789473685,0.8818818510934898,0.8153810885935329,0.8260622143047127,0.9788321149027245,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.00885602771834959
genetic,0.9144736842105263,0.8721160678047305,0.823952219685975,0.844305979721957,0.9763236207151694,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.00028489662590747145
demographic,0.9078947368421053,0.8684690947923309,0.815801453079975,0.8333876180693007,0.9745221702351087,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.008435663231907475
none,0.9024725274725275,0.8270079640239629,0.7881508979115979,0.818958753642681,0.9661190747244134,logistic_regression,44,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,0.0
