accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,model,seed,n_features,features,task_mode,group,modalities
0.37660485021398005,0.3716179905753365,0.33026489588305014,0.08845636545419922,0.5558685719958798,logistic_regression,42,3,AGE|PTGENDER|PTEDUCAT,all_visits,demographic,demographic
0.9186875891583453,0.8969592633099742,0.8283813530702065,0.8524837095970317,0.9756530110264187,logistic_regression,42,9,MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl,all_visits,cognitive,cognitive
0.6034236804564908,0.6321910317170981,0.5372949135325373,0.39046147494323047,0.7758234496874149,logistic_regression,42,7,Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,mri_derived,mri_derived
0.6476462196861626,0.46522461214404337,0.4395407876704635,0.3234516092479497,0.6444175904927465,logistic_regression,42,1,APOE4,all_visits,genetic,genetic
0.9186875891583453,0.8818203912990642,0.8234189528015966,0.8513460222030418,0.9758091576671241,logistic_regression,42,12,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl,all_visits,demographic+cognitive,demographic|cognitive
0.6405135520684736,0.6054995206653975,0.5455709205206251,0.40763145805179524,0.7875719999625032,logistic_regression,42,10,AGE|PTGENDER|PTEDUCAT|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,demographic+mri_derived,demographic|mri_derived
0.912981455064194,0.8607121156884191,0.8089909377701727,0.8410241729806899,0.9670521579963728,logistic_regression,42,19,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,demographic+cognitive+mri_derived,demographic|cognitive|mri_derived
0.9115549215406562,0.8671743562738823,0.8102977251028606,0.8390945877405047,0.9652562402448598,logistic_regression,42,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,demographic+cognitive+mri_derived+genetic,demographic|cognitive|mri_derived|genetic
0.6476462196861626,0.5905942398833394,0.5507524001086233,0.42877455751117555,0.7985045858289345,logistic_regression,42,11,AGE|PTGENDER|PTEDUCAT|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,all_without_cognitive,demographic|mri_derived|genetic
0.920114122681883,0.884514116741605,0.8265769480456306,0.8539534433816609,0.974865465443347,logistic_regression,42,13,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|APOE4,all_visits,all_without_mri,demographic|cognitive|genetic
0.912981455064194,0.8607121156884191,0.8089909377701727,0.8410241729806899,0.9670521579963728,logistic_regression,42,19,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,all_without_genetic,demographic|cognitive|mri_derived
0.3631578947368421,0.3385308801459179,0.31088008690091007,0.04076438436183094,0.5211045663143589,logistic_regression,43,3,AGE|PTGENDER|PTEDUCAT,all_visits,demographic,demographic
0.9118421052631579,0.8821534618903525,0.8245331523606949,0.8409361401711217,0.9794167673890578,logistic_regression,43,9,MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl,all_visits,cognitive,cognitive
0.6171052631578947,0.6403711938279091,0.5529713676007564,0.4033249337657222,0.77456331948669,logistic_regression,43,7,Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,mri_derived,mri_derived
0.7078947368421052,0.4984313622103293,0.4788340671018673,0.4135313256027363,0.6940580185805362,logistic_regression,43,1,APOE4,all_visits,genetic,genetic
0.9,0.8701454655643402,0.8084623159211702,0.8211454617518827,0.9778875044098275,logistic_regression,43,12,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl,all_visits,demographic+cognitive,demographic|cognitive
0.6434210526315789,0.5721290218007943,0.5384965636443789,0.4045264776972094,0.7690982413352058,logistic_regression,43,10,AGE|PTGENDER|PTEDUCAT|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,demographic+mri_derived,demographic|mri_derived
0.9144736842105263,0.8672819163842337,0.8218816342548593,0.8441143708247738,0.9764515130577798,logistic_regression,43,19,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,demographic+cognitive+mri_derived,demographic|cognitive|mri_derived
0.9144736842105263,0.8727253612879267,0.8242371163118825,0.844407978658066,0.9762338768539623,logistic_regression,43,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,demographic+cognitive+mri_derived+genetic,demographic|cognitive|mri_derived|genetic
0.6881578947368421,0.5861219413678703,0.5638723934817872,0.4700934661924221,0.8014454798129759,logistic_regression,43,11,AGE|PTGENDER|PTEDUCAT|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,all_without_cognitive,demographic|mri_derived|genetic
0.906578947368421,0.8792358834804328,0.818428154240527,0.8321758359329077,0.9775763077623193,logistic_regression,43,13,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|APOE4,all_visits,all_without_mri,demographic|cognitive|genetic
0.9144736842105263,0.8672819163842337,0.8218816342548593,0.8441143708247738,0.9764515130577798,logistic_regression,43,19,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,all_without_genetic,demographic|cognitive|mri_derived
0.4423076923076923,0.3621123693419707,0.35123167360417296,0.07947976878612717,0.5786456690324131,logistic_regression,44,3,AGE|PTGENDER|PTEDUCAT,all_visits,demographic,demographic
0.8997252747252747,0.8497345434449689,0.795968755505256,0.816005677982239,0.9682353128351412,logistic_regression,44,9,MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl,all_visits,cognitive,cognitive
0.6085164835164835,0.6055769639405638,0.530861731092155,0.3768283965375351,0.7725239970372786,logistic_regression,44,7,Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,mri_derived,mri_derived
0.7087912087912088,0.49906657172001,0.47672375071409573,0.4174593109279222,0.6670234529725135,logistic_regression,44,1,APOE4,all_visits,genetic,genetic
0.8956043956043956,0.828643149170598,0.7833894204333003,0.8076511243064344,0.9660418833358211,logistic_regression,44,12,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl,all_visits,demographic+cognitive,demographic|cognitive
0.6538461538461539,0.6049340577663734,0.559042159042159,0.41538775302095543,0.7994217885512794,logistic_regression,44,10,AGE|PTGENDER|PTEDUCAT|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,demographic+mri_derived,demographic|mri_derived
0.9065934065934066,0.8306165785084603,0.7936690175496146,0.8261425375519336,0.9670908678026429,logistic_regression,44,19,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,demographic+cognitive+mri_derived,demographic|cognitive|mri_derived
0.9024725274725275,0.8270079640239629,0.7881508979115979,0.818958753642681,0.9661190747244134,logistic_regression,44,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,demographic+cognitive+mri_derived+genetic,demographic|cognitive|mri_derived|genetic
0.6717032967032966,0.6053660441062045,0.5712181188635679,0.44569999522133197,0.8151780873128791,logistic_regression,44,11,AGE|PTGENDER|PTEDUCAT|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,all_without_cognitive,demographic|mri_derived|genetic
0.8956043956043956,0.8346984861035774,0.7862395748471113,0.8080388585306618,0.9659353010731998,logistic_regression,44,13,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|APOE4,all_visits,all_without_mri,demographic|cognitive|genetic
0.9065934065934066,0.8306165785084603,0.7936690175496146,0.8261425375519336,0.9670908678026429,logistic_regression,44,19,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,all_without_genetic,demographic|cognitive|mri_derived
0.3791606367583213,0.36464646464646466,0.33451992318532286,0.08250205048050885,0.5808723150140191,logistic_regression,45,3,AGE|PTGENDER|PTEDUCAT,all_visits,demographic,demographic
0.9117221418234442,0.8929653679653681,0.8106808638578303,0.8396361367492753,0.9790644540022203,logistic_regression,45,9,MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl,all_visits,cognitive,cognitive
0.5441389290882779,0.5719696969696969,0.47981643321278306,0.3042312228895828,0.7321031096870412,logistic_regression,45,7,Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,mri_derived,mri_derived
0.6092619392185239,0.42893217893217894,0.4091103158886225,0.23760915669937122,0.6178740781825042,logistic_regression,45,1,APOE4,all_visits,genetic,genetic
0.9059334298118669,0.8822510822510822,0.8011029562955466,0.8296131347541407,0.9785073197355896,logistic_regression,45,12,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl,all_visits,demographic+cognitive,demographic|cognitive
0.5687409551374819,0.5415223665223664,0.4822436205255221,0.300564526538182,0.7400634946063674,logistic_regression,45,10,AGE|PTGENDER|PTEDUCAT|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,demographic+mri_derived,demographic|mri_derived
0.9073806078147613,0.9050144300144299,0.8098346315620599,0.8333163724902664,0.9780093573553721,logistic_regression,45,19,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV,all_visits,demographic+cognitive+mri_derived,demographic|cognitive|mri_derived
0.9117221418234442,0.8962121212121211,0.8118447391714464,0.8403250246230775,0.9770170813035793,logistic_regression,45,20,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,demographic+cognitive+mri_derived+genetic,demographic|cognitive|mri_derived|genetic
