column_name,dictionary_match,source_table,description,type,units,modality,missing_rate,non_missing_count,unique_count,available_in_d3,suspected_label,suspected_leakage,duplicated_measurement_family,recommended_use,exclusion_reason
RID,True,ADNIMERGE,Participant roster ID,,,identifier,0.0,12741,1737,True,False,True,RID,exclude_identifier,Identifier is retained only for joins and subject-level splits.
PTID,True,ADNIMERGE,Participant ID,,,identifier,0.0,12741,1737,False,False,True,PTID,exclude_identifier,Identifier is retained only for joins and subject-level splits.
VISCODE,True,ADNIMERGE,Visit code,,,visit_time,0.0,12741,22,True,False,True,VISCODE,exclude_leakage,Target-derived or temporal field is excluded from model inputs.
SITE,True,ADNIMERGE,Site,,,administrative,0.0,12741,62,False,False,True,SITE,exclude_administrative,Administrative or data-construction field.
D1,True,,Denotes whether participant belongs to dataset D1,,,administrative,0.0,12741,2,False,False,True,D1,exclude_administrative,Administrative or data-construction field.
D2,True,,Denotes whether participant belongs to dataset D2,,,administrative,0.0,12741,2,False,False,True,D2,exclude_administrative,Administrative or data-construction field.
COLPROT,True,ADNIMERGE,Protocol under which data was collected,,,administrative,0.0,12741,3,True,False,True,COLPROT,exclude_administrative,Administrative or data-construction field.
ORIGPROT,True,ADNIMERGE,Protocol from which subject originated,,,administrative,0.0,12741,3,False,False,True,ORIGPROT,exclude_administrative,Administrative or data-construction field.
EXAMDATE,True,ADNIMERGE,Examination Date,,,visit_time,0.0,12741,2688,True,False,True,EXAMDATE,exclude_leakage,Target-derived or temporal field is excluded from model inputs.
DX_bl,True,ADNIMERGE,Baseline Dx,,,baseline_diagnosis,0.0,12741,5,False,True,True,DX,exclude_leakage,Target-derived or temporal field is excluded from model inputs.
DXCHANGE,True,,"1=Stable:NL to NL, 2=Stable:MCI to MCI, 3=Stable:AD to AD, 4=Conv:NL to MCI, 5=Conv:MCI to AD, 6=Conv:NL to AD, 7=Rev:MCI to NL, 8=Rev:AD to MCI, 9=Rev:AD to NL, -1=Not available",,,label,0.302096,8892,8,False,True,True,DXCHANGE,exclude_leakage,Target-derived or temporal field is excluded from model inputs.
AGE,True,ADNIMERGE,Age at baseline,,,demographic,0.0,12741,324,True,False,False,AGE,include_primary,
PTGENDER,True,ADNIMERGE,Sex,,,demographic,0.0,12741,2,True,False,False,PTGENDER,include_primary,
PTEDUCAT,True,ADNIMERGE,Education,,,demographic,0.0,12741,16,True,False,False,PTEDUCAT,include_primary,
PTETHCAT,True,ADNIMERGE,Ethnicity,,,demographic,0.0,12741,3,True,False,False,PTETHCAT,include_primary,
PTRACCAT,True,ADNIMERGE,Race,,,demographic,0.0,12741,7,True,False,False,PTRACCAT,include_primary,
PTMARRY,True,ADNIMERGE,Marital status at baseline,,,demographic,0.0,12741,5,True,False,False,PTMARRY,include_primary,
APOE4,True,ADNIMERGE,ApoE4,,,genetic,0.000942,12729,3,False,False,False,APOE4,include_primary,
FDG,True,ADNIMERGE,"Average FDG-PET of angular, temporal, and posterior cingulate",,,pet_fdg,0.736912,3352,3241,False,False,False,FDG,exclude_high_missing,Availability is below the configured feature threshold.
PIB,True,ADNIMERGE,"Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex, and parietal cortex",,,pet_amyloid,0.982497,223,186,False,False,False,PIB,exclude_high_missing,Availability is below the configured feature threshold.
AV45,True,ADNIMERGE,"Average AV45 SUVR of frontal, anterior cingulate, precuneus, and parietal cortex relative to the cer",,,pet_amyloid,0.833765,2118,2090,False,False,False,AV45,exclude_high_missing,Availability is below the configured feature threshold.
CDRSB,True,ADNIMERGE,CDR-SB,,,cognitive,0.296523,8963,30,False,False,False,CDRSB,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ADAS11,True,ADNIMERGE,ADAS 11,,,cognitive,0.300683,8910,163,False,False,False,ADAS11,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ADAS13,True,ADNIMERGE,ADAS 13,,,cognitive,0.307433,8824,204,True,False,False,ADAS13,include_primary,
MMSE,True,ADNIMERGE,MMSE,,,cognitive,0.298956,8932,31,True,False,False,MMSE,include_primary,
RAVLT_immediate,True,ADNIMERGE,RAVLT (5 sum),,,cognitive,0.306883,8831,76,False,False,False,RAVLT_IMMEDIATE,exclude_duplicate,A better-covered representative from the same measurement family was retained.
RAVLT_learning,False,,,,,cognitive,0.307668,8821,19,False,False,False,RAVLT_LEARNING,exclude_duplicate,A better-covered representative from the same measurement family was retained.
RAVLT_forgetting,False,,,,,cognitive,0.309395,8799,26,False,False,False,RAVLT_FORGETTING,exclude_duplicate,A better-covered representative from the same measurement family was retained.
RAVLT_perc_forgetting,False,,,,,cognitive,0.314418,8735,100,False,False,False,RAVLT_PERC_FORGETTING,exclude_duplicate,A better-covered representative from the same measurement family was retained.
FAQ,True,ADNIMERGE,FAQ,,,cognitive,0.29409,8994,31,False,False,False,FAQ,exclude_duplicate,A better-covered representative from the same measurement family was retained.
MOCA,True,ADNIMERGE,MOCA,,,cognitive,0.610156,4967,31,False,False,False,MOCA,exclude_duplicate,A better-covered representative from the same measurement family was retained.
EcogPtMem,True,ADNIMERGE,Participant ECog - Mem,,,unknown,0.604505,5039,59,False,False,False,ECOGPTMEM,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtLang,True,ADNIMERGE,Participant ECog - Lang,,,unknown,0.605682,5024,68,False,False,False,ECOGPTLANG,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtVisspat,True,ADNIMERGE,Participant ECog - Vis/Spat,,,unknown,0.608822,4984,51,False,False,False,ECOGPTVISSPAT,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtPlan,True,ADNIMERGE,Participant ECog - Plan,,,unknown,0.606467,5014,29,False,False,False,ECOGPTPLAN,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtOrgan,True,ADNIMERGE,Participant ECog - Organ,,,unknown,0.614551,4911,37,False,False,False,ECOGPTORGAN,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtDivatt,True,ADNIMERGE,Participant ECog - Div atten,,,unknown,0.608665,4986,19,False,False,False,ECOGPTDIVATT,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtTotal,True,ADNIMERGE,Participant ECog - Total,,,unknown,0.605368,5028,499,False,False,False,ECOGPTTOTAL,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPMem,True,ADNIMERGE,Study Partner ECog - Mem,,,unknown,0.601209,5081,58,False,False,False,ECOGSPMEM,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPLang,True,ADNIMERGE,Study Partner ECog - Lang,,,unknown,0.600738,5087,75,False,False,False,ECOGSPLANG,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPVisspat,True,ADNIMERGE,Study Partner ECog - Vis/Spat,,,unknown,0.608194,4992,54,False,False,False,ECOGSPVISSPAT,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPPlan,True,ADNIMERGE,Study Partner ECog - Plan,,,unknown,0.605447,5027,31,False,False,False,ECOGSPPLAN,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPOrgan,True,ADNIMERGE,Study Partner ECog - Organ,,,unknown,0.618711,4858,37,False,False,False,ECOGSPORGAN,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPDivatt,True,ADNIMERGE,Study Partner ECog - Div atten,,,unknown,0.611333,4952,19,False,False,False,ECOGSPDIVATT,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPTotal,True,ADNIMERGE,Study Partner ECog - Total,,,unknown,0.60113,5082,722,False,False,False,ECOGSPTOTAL,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
FLDSTRENG,False,,,,,unknown,0.444392,7079,2,False,False,False,FLDSTRENG,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
FSVERSION,False,,,,,administrative,0.375795,7953,2,False,False,True,FSVERSION,exclude_administrative,Administrative or data-construction field.
Ventricles,True,ADNIMERGE,UCSF Ventricles,,,mri_structural,0.415666,7445,7071,True,False,False,VENTRICLES,include_optional,Eligible audited feature retained as optional but outside the primary feature cap.
Hippocampus,True,ADNIMERGE,UCSF Hippocampus,,,mri_structural,0.466133,6802,3615,True,False,False,HIPPOCAMPUS,include_optional,Eligible audited feature retained as optional but outside the primary feature cap.
WholeBrain,True,ADNIMERGE,UCSF WholeBrain,,,mri_structural,0.396515,7689,7286,True,False,False,WHOLEBRAIN,include_optional,Eligible audited feature retained as optional but outside the primary feature cap.
Entorhinal,True,ADNIMERGE,UCSF Entorhinal,,,mri_structural,0.492269,6469,2806,True,False,False,ENTORHINAL,include_optional,Eligible audited feature retained as optional but outside the primary feature cap.
Fusiform,True,ADNIMERGE,UCSF Fusiform,,,mri_structural,0.492269,6469,4771,True,False,False,FUSIFORM,include_optional,Eligible audited feature retained as optional but outside the primary feature cap.
MidTemp,True,ADNIMERGE,UCSF Med Temp,,,mri_structural,0.492269,6469,4962,True,False,False,MIDTEMP,include_optional,Eligible audited feature retained as optional but outside the primary feature cap.
ICV,True,ADNIMERGE,UCSF ICV,,,mri_structural,0.375795,7953,7424,True,False,False,ICV,include_primary,
DX,True,ADNIMERGE,Dx status,,,label,0.301154,8904,8,True,True,True,DX,exclude_leakage,Target-derived or temporal field is excluded from model inputs.
EXAMDATE_bl,True,ADNIMERGE,Examination Date at baseline,,,visit_time,0.0,12741,861,False,False,True,EXAMDATE,exclude_leakage,Target-derived or temporal field is excluded from model inputs.
CDRSB_bl,True,ADNIMERGE,CDR-SB at baseline,,,cognitive,0.0,12741,18,False,False,False,CDRSB,include_primary,
ADAS11_bl,True,ADNIMERGE,ADAS 11 at baseline,,,cognitive,0.001334,12724,98,False,False,False,ADAS11,include_primary,
ADAS13_bl,True,ADNIMERGE,ADAS 13 at baseline,,,cognitive,0.006122,12663,134,False,False,False,ADAS13,exclude_duplicate,A better-covered representative from the same measurement family was retained.
MMSE_bl,True,ADNIMERGE,MMSE at baseline,,,cognitive,0.0,12741,13,False,False,False,MMSE,exclude_duplicate,A better-covered representative from the same measurement family was retained.
RAVLT_immediate_bl,True,ADNIMERGE,RAVLT (5 sum) at baseline,,,cognitive,0.002826,12705,69,False,False,False,RAVLT_IMMEDIATE,include_primary,
RAVLT_learning_bl,False,,,,,cognitive,0.003375,12698,15,False,False,False,RAVLT_LEARNING,include_primary,
RAVLT_forgetting_bl,False,,,,,cognitive,0.002904,12704,19,False,False,False,RAVLT_FORGETTING,include_primary,
RAVLT_perc_forgetting_bl,False,,,,,cognitive,0.004474,12684,79,False,False,False,RAVLT_PERC_FORGETTING,include_primary,
FAQ_bl,True,ADNIMERGE,FAQ at baseline,,,cognitive,0.003532,12696,31,False,False,False,FAQ,include_primary,
FLDSTRENG_bl,False,,,,,unknown,0.11412,11287,2,False,False,False,FLDSTRENG,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
FSVERSION_bl,False,,,,,administrative,0.007378,12647,2,False,False,True,FSVERSION,exclude_administrative,Administrative or data-construction field.
Ventricles_bl,True,ADNIMERGE,UCSF Ventricles at baseline,,,mri_structural,0.038459,12251,1642,False,False,False,VENTRICLES,exclude_duplicate,A better-covered representative from the same measurement family was retained.
Hippocampus_bl,True,ADNIMERGE,UCSF Hippocampus at baseline,,,mri_structural,0.139785,10960,1264,False,False,False,HIPPOCAMPUS,exclude_duplicate,A better-covered representative from the same measurement family was retained.
WholeBrain_bl,True,ADNIMERGE,UCSF WholeBrain at baseline,,,mri_structural,0.019543,12492,1667,False,False,False,WHOLEBRAIN,exclude_duplicate,A better-covered representative from the same measurement family was retained.
Entorhinal_bl,True,ADNIMERGE,UCSF Entorhinal at baseline,,,mri_structural,0.148654,10847,1158,False,False,False,ENTORHINAL,exclude_duplicate,A better-covered representative from the same measurement family was retained.
Fusiform_bl,True,ADNIMERGE,UCSF Fusiform at baseline,,,mri_structural,0.148654,10847,1365,False,False,False,FUSIFORM,exclude_duplicate,A better-covered representative from the same measurement family was retained.
MidTemp_bl,True,ADNIMERGE,UCSF Med Temp at baseline,,,mri_structural,0.148654,10847,1377,False,False,False,MIDTEMP,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ICV_bl,True,ADNIMERGE,UCSF ICV at baseline,,,mri_structural,0.007378,12647,1696,False,False,False,ICV,exclude_duplicate,A better-covered representative from the same measurement family was retained.
MOCA_bl,True,ADNIMERGE,MOCA at baseline,,,cognitive,0.550192,5731,26,False,False,False,MOCA,include_primary,
EcogPtMem_bl,True,ADNIMERGE,Pt ECog - Mem at baseline,,,unknown,0.545954,5785,43,False,False,False,ECOGPTMEM,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtLang_bl,True,ADNIMERGE,Pt ECog - Lang at baseline,,,unknown,0.546032,5784,47,False,False,False,ECOGPTLANG,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtVisspat_bl,True,ADNIMERGE,Pt ECog - Vis/Spat at baseline,,,unknown,0.547838,5761,38,False,False,False,ECOGPTVISSPAT,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtPlan_bl,True,ADNIMERGE,Pt ECog - Plan at baseline,,,unknown,0.546111,5783,21,False,False,False,ECOGPTPLAN,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtOrgan_bl,True,ADNIMERGE,Pt ECog - Organ at baseline,,,unknown,0.556393,5652,34,False,False,False,ECOGPTORGAN,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtDivatt_bl,True,ADNIMERGE,Pt ECog - Div atten at baseline,,,unknown,0.549093,5745,15,False,False,False,ECOGPTDIVATT,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogPtTotal_bl,True,ADNIMERGE,Pt ECog - Total at baseline,,,unknown,0.546032,5784,223,False,False,False,ECOGPTTOTAL,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPMem_bl,True,ADNIMERGE,SP ECog - Mem at baseline,,,unknown,0.547053,5771,47,False,False,False,ECOGSPMEM,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPLang_bl,True,ADNIMERGE,SP ECog - Lang at baseline,,,unknown,0.54666,5776,59,False,False,False,ECOGSPLANG,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPVisspat_bl,True,ADNIMERGE,SP ECog - Vis/Spat at baseline,,,unknown,0.553175,5693,45,False,False,False,ECOGSPVISSPAT,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPPlan_bl,True,ADNIMERGE,SP ECog - Plan at baseline,,,unknown,0.550506,5727,30,False,False,False,ECOGSPPLAN,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPOrgan_bl,True,ADNIMERGE,SP ECog - Organ at baseline,,,unknown,0.568009,5504,35,False,False,False,ECOGSPORGAN,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPDivatt_bl,True,ADNIMERGE,SP ECog - Div atten at baseline,,,unknown,0.55757,5637,19,False,False,False,ECOGSPDIVATT,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
EcogSPTotal_bl,True,ADNIMERGE,SP ECog - Total at baseline,,,unknown,0.547367,5767,327,False,False,False,ECOGSPTOTAL,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
FDG_bl,True,ADNIMERGE,"Average FDG-PET of angular, temporal, and posterior cingulate at baseline",,,pet_fdg,0.283259,9132,1281,False,False,False,FDG,include_primary,
PIB_bl,True,ADNIMERGE,"Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex, and parietal cortex at bas",,,pet_amyloid,0.988541,146,20,False,False,False,PIB,exclude_high_missing,Availability is below the configured feature threshold.
AV45_bl,True,ADNIMERGE,"Average AV45 SUVR of frontal, anterior cingulate, precuneus, and parietal cortex relative to the cer",,,pet_amyloid,0.548701,5750,891,False,False,False,AV45,include_primary,
Years_bl,True,ADNIMERGE,Years from baseline,,,visit_time,0.0,12741,1907,False,False,True,YEARS,exclude_leakage,Target-derived or temporal field is excluded from model inputs.
Month_bl,True,ADNIMERGE,Months from baseline,,,visit_time,0.0,12741,1907,False,False,True,MONTH,exclude_leakage,Target-derived or temporal field is excluded from model inputs.
Month,True,ADNIMERGE,"Months from baseline (to nearest 6 months, as a factor)",,,unknown,0.0,12741,23,False,False,False,MONTH,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
M,True,ADNIMERGE,"Months from baseline (to nearest 6 months, as continuous)",,,unknown,0.0,12741,22,False,False,False,M,exclude_unresolved,Field meaning or modeling role is not resolved for the primary set.
update_stamp,False,,,,,administrative,0.0,12741,101,False,False,True,UPDATE_STAMP,exclude_administrative,Administrative or data-construction field.
EXAMDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,The scan date for the image processed,D,,visit_time,0.659289,4341,1896,False,False,True,EXAMDATE,exclude_leakage,Target-derived or temporal field is excluded from model inputs.
VERSION_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,,D,,administrative,0.659289,4341,191,False,False,True,VERSION,exclude_administrative,Administrative or data-construction field.
FLDSTRENG_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,The field strength. 1.5 or 3,D,,mri_structural,0.801899,2524,1,False,False,False,FLDSTRENG,exclude_high_missing,Availability is below the configured feature threshold.
LONISID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,The LONI study UID for the image processed,T,,identifier,0.659289,4341,4341,False,False,True,LONISID,exclude_identifier,Identifier is retained only for joins and subject-level splits.
LONIUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,The LONI series UID for the image processed.,T,,identifier,0.659289,4341,4341,False,False,True,LONIUID,exclude_identifier,Identifier is retained only for joins and subject-level splits.
IMAGEUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,The ImageUID for the image processed.,T,,identifier,0.659289,4341,4341,False,False,True,IMAGEUID,exclude_identifier,Identifier is retained only for joins and subject-level splits.
RUNDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,,D,,administrative,0.659289,4341,191,False,False,True,RUNDATE,exclude_administrative,Administrative or data-construction field.
STATUS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,,T,,administrative,0.659289,4341,2,False,False,True,STATUS,exclude_administrative,Administrative or data-construction field.
BASETP1_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Whether or not the base image includes a timepoint 1 image.,N,,mri_structural,0.801899,2524,2,False,False,False,BASETP1,exclude_high_missing,Availability is below the configured feature threshold.
BASETP2_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Whether or not the base image includes a timepoint 2 image.,N,,mri_structural,0.801899,2524,2,False,False,False,BASETP2,exclude_high_missing,Availability is below the configured feature threshold.
BASETP3_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Whether or not the base image includes a timepoint 3 image.,N,,mri_structural,0.801899,2524,2,False,False,False,BASETP3,exclude_high_missing,Availability is below the configured feature threshold.
BASETP4_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Whether or not the base image includes a timepoint 4 image.,N,,mri_structural,0.801899,2524,2,False,False,False,BASETP4,exclude_high_missing,Availability is below the configured feature threshold.
BASETP5_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Whether or not the base image includes a timepoint 5 image.,N,,mri_structural,0.801899,2524,2,False,False,False,BASETP5,exclude_high_missing,Availability is below the configured feature threshold.
BASETP6_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Whether or not the base image includes a timepoint 6 image.,N,,mri_structural,0.801899,2524,2,False,False,False,BASETP6,exclude_high_missing,Availability is below the configured feature threshold.
BASETP7_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Whether or not the base image includes a timepoint 7 image.,N,,mri_structural,0.801899,2524,2,False,False,False,BASETP7,exclude_high_missing,Availability is below the configured feature threshold.
BASETP8_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Whether or not the base image includes a timepoint 8 image.,N,,mri_structural,0.801899,2524,1,False,False,False,BASETP8,exclude_high_missing,Availability is below the configured feature threshold.
OVERALLQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,An overall quality rating. Refer to additional QC variables for Partial rating.,T,,administrative,0.770034,2930,3,False,False,True,OVERALLQC,exclude_administrative,Administrative or data-construction field.
TEMPQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,QC rating of temporal lobe. Fail affects the following regions: LeftTemporalPole (ST60); RightTempor,T,,administrative,0.770034,2930,2,False,False,True,TEMPQC,exclude_administrative,Administrative or data-construction field.
