"column_name","modality","missing_rate","non_missing_count","recommended_use"
"RID","identifier","0.0","12741","exclude_identifier"
"PTID","identifier","0.0","12741","exclude_identifier"
"VISCODE","visit_time","0.0","12741","exclude_leakage"
"SITE","administrative","0.0","12741","exclude_administrative"
"D1","administrative","0.0","12741","exclude_administrative"
"D2","administrative","0.0","12741","exclude_administrative"
"COLPROT","administrative","0.0","12741","exclude_administrative"
"ORIGPROT","administrative","0.0","12741","exclude_administrative"
"EXAMDATE","visit_time","0.0","12741","exclude_leakage"
"DX_bl","baseline_diagnosis","0.0","12741","exclude_leakage"
"DXCHANGE","label","0.302096","8892","exclude_leakage"
"AGE","demographic","0.0","12741","include_primary"
"PTGENDER","demographic","0.0","12741","include_primary"
"PTEDUCAT","demographic","0.0","12741","include_primary"
"PTETHCAT","demographic","0.0","12741","include_primary"
"PTRACCAT","demographic","0.0","12741","include_primary"
"PTMARRY","demographic","0.0","12741","include_primary"
"APOE4","genetic","0.000942","12729","include_primary"
"FDG","pet_fdg","0.736912","3352","exclude_high_missing"
"PIB","pet_amyloid","0.982497","223","exclude_high_missing"
"AV45","pet_amyloid","0.833765","2118","exclude_high_missing"
"CDRSB","cognitive","0.296523","8963","exclude_duplicate"
"ADAS11","cognitive","0.300683","8910","exclude_duplicate"
"ADAS13","cognitive","0.307433","8824","include_primary"
"MMSE","cognitive","0.298956","8932","include_primary"
"RAVLT_immediate","cognitive","0.306883","8831","exclude_duplicate"
"RAVLT_learning","cognitive","0.307668","8821","exclude_duplicate"
"RAVLT_forgetting","cognitive","0.309395","8799","exclude_duplicate"
"RAVLT_perc_forgetting","cognitive","0.314418","8735","exclude_duplicate"
"FAQ","cognitive","0.29409","8994","exclude_duplicate"
"MOCA","cognitive","0.610156","4967","exclude_duplicate"
"EcogPtMem","unknown","0.604505","5039","exclude_unresolved"
"EcogPtLang","unknown","0.605682","5024","exclude_unresolved"
"EcogPtVisspat","unknown","0.608822","4984","exclude_unresolved"
"EcogPtPlan","unknown","0.606467","5014","exclude_unresolved"
"EcogPtOrgan","unknown","0.614551","4911","exclude_unresolved"
"EcogPtDivatt","unknown","0.608665","4986","exclude_unresolved"
"EcogPtTotal","unknown","0.605368","5028","exclude_unresolved"
"EcogSPMem","unknown","0.601209","5081","exclude_unresolved"
"EcogSPLang","unknown","0.600738","5087","exclude_unresolved"
"EcogSPVisspat","unknown","0.608194","4992","exclude_unresolved"
"EcogSPPlan","unknown","0.605447","5027","exclude_unresolved"
"EcogSPOrgan","unknown","0.618711","4858","exclude_unresolved"
"EcogSPDivatt","unknown","0.611333","4952","exclude_unresolved"
"EcogSPTotal","unknown","0.60113","5082","exclude_unresolved"
"FLDSTRENG","unknown","0.444392","7079","exclude_unresolved"
"FSVERSION","administrative","0.375795","7953","exclude_administrative"
"Ventricles","mri_structural","0.415666","7445","include_optional"
"Hippocampus","mri_structural","0.466133","6802","include_optional"
"WholeBrain","mri_structural","0.396515","7689","include_optional"
"Entorhinal","mri_structural","0.492269","6469","include_optional"
"Fusiform","mri_structural","0.492269","6469","include_optional"
"MidTemp","mri_structural","0.492269","6469","include_optional"
"ICV","mri_structural","0.375795","7953","include_primary"
"DX","label","0.301154","8904","exclude_leakage"
"EXAMDATE_bl","visit_time","0.0","12741","exclude_leakage"
"CDRSB_bl","cognitive","0.0","12741","include_primary"
"ADAS11_bl","cognitive","0.001334","12724","include_primary"
"ADAS13_bl","cognitive","0.006122","12663","exclude_duplicate"
"MMSE_bl","cognitive","0.0","12741","exclude_duplicate"
"RAVLT_immediate_bl","cognitive","0.002826","12705","include_primary"
"RAVLT_learning_bl","cognitive","0.003375","12698","include_primary"
"RAVLT_forgetting_bl","cognitive","0.002904","12704","include_primary"
"RAVLT_perc_forgetting_bl","cognitive","0.004474","12684","include_primary"
"FAQ_bl","cognitive","0.003532","12696","include_primary"
"FLDSTRENG_bl","unknown","0.11412","11287","exclude_unresolved"
"FSVERSION_bl","administrative","0.007378","12647","exclude_administrative"
"Ventricles_bl","mri_structural","0.038459","12251","exclude_duplicate"
"Hippocampus_bl","mri_structural","0.139785","10960","exclude_duplicate"
"WholeBrain_bl","mri_structural","0.019543","12492","exclude_duplicate"
"Entorhinal_bl","mri_structural","0.148654","10847","exclude_duplicate"
"Fusiform_bl","mri_structural","0.148654","10847","exclude_duplicate"
"MidTemp_bl","mri_structural","0.148654","10847","exclude_duplicate"
"ICV_bl","mri_structural","0.007378","12647","exclude_duplicate"
"MOCA_bl","cognitive","0.550192","5731","include_primary"
"EcogPtMem_bl","unknown","0.545954","5785","exclude_unresolved"
"EcogPtLang_bl","unknown","0.546032","5784","exclude_unresolved"
"EcogPtVisspat_bl","unknown","0.547838","5761","exclude_unresolved"
"EcogPtPlan_bl","unknown","0.546111","5783","exclude_unresolved"
"EcogPtOrgan_bl","unknown","0.556393","5652","exclude_unresolved"
"EcogPtDivatt_bl","unknown","0.549093","5745","exclude_unresolved"
"EcogPtTotal_bl","unknown","0.546032","5784","exclude_unresolved"
"EcogSPMem_bl","unknown","0.547053","5771","exclude_unresolved"
"EcogSPLang_bl","unknown","0.54666","5776","exclude_unresolved"
"EcogSPVisspat_bl","unknown","0.553175","5693","exclude_unresolved"
"EcogSPPlan_bl","unknown","0.550506","5727","exclude_unresolved"
"EcogSPOrgan_bl","unknown","0.568009","5504","exclude_unresolved"
"EcogSPDivatt_bl","unknown","0.55757","5637","exclude_unresolved"
"EcogSPTotal_bl","unknown","0.547367","5767","exclude_unresolved"
"FDG_bl","pet_fdg","0.283259","9132","include_primary"
"PIB_bl","pet_amyloid","0.988541","146","exclude_high_missing"
"AV45_bl","pet_amyloid","0.548701","5750","include_primary"
"Years_bl","visit_time","0.0","12741","exclude_leakage"
"Month_bl","visit_time","0.0","12741","exclude_leakage"
"Month","unknown","0.0","12741","exclude_unresolved"
"M","unknown","0.0","12741","exclude_unresolved"
"update_stamp","administrative","0.0","12741","exclude_administrative"
"EXAMDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","visit_time","0.659289","4341","exclude_leakage"
"VERSION_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.659289","4341","exclude_administrative"
"FLDSTRENG_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"LONISID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","identifier","0.659289","4341","exclude_identifier"
"LONIUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","identifier","0.659289","4341","exclude_identifier"
"IMAGEUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","identifier","0.659289","4341","exclude_identifier"
"RUNDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.659289","4341","exclude_administrative"
"STATUS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.659289","4341","exclude_administrative"
"BASETP1_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"BASETP2_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"BASETP3_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"BASETP4_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"BASETP5_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"BASETP6_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"BASETP7_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"BASETP8_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"OVERALLQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.770034","2930","exclude_administrative"
"TEMPQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.770034","2930","exclude_administrative"
"FRONTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.770034","2930","exclude_administrative"
"PARQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.770034","2930","exclude_administrative"
"INSULAQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.770034","2930","exclude_administrative"
"OCCQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.770034","2930","exclude_administrative"
"BGQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.770034","2930","exclude_administrative"
"CWMQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.770034","2930","exclude_administrative"
"VENTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","administrative","0.770034","2930","exclude_administrative"
"ST100SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","1.0","0","exclude_high_missing"
"ST101SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST102CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST102SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST102TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST102TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST103CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST103SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST103TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST103TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST104CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST104SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST104TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST104TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST105CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST105SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
