model,seed,task_mode,missing_indicators,class_id,bin,n,mean_predicted,observed_rate
logistic_regression,42,baseline_only,False,0,0,206,0.0068474773873453,0.0048543689320388
logistic_regression,42,baseline_only,False,0,1,13,0.1629996624491394,0.1538461538461538
logistic_regression,42,baseline_only,False,0,2,10,0.2416634691683271,0.2
logistic_regression,42,baseline_only,False,0,3,5,0.340860249951577,0.6
logistic_regression,42,baseline_only,False,0,4,5,0.4463563349944487,0.0
logistic_regression,42,baseline_only,False,0,5,4,0.5559960568598746,0.25
logistic_regression,42,baseline_only,False,0,6,6,0.6615668409602004,0.1666666666666666
logistic_regression,42,baseline_only,False,0,7,5,0.7548841128236304,0.6
logistic_regression,42,baseline_only,False,0,8,12,0.8663869179919214,1.0
logistic_regression,42,baseline_only,False,0,9,80,0.9691124107964684,1.0
logistic_regression,42,baseline_only,False,1,0,136,0.0240980442437771,0.0220588235294117
logistic_regression,42,baseline_only,False,1,1,17,0.1314780967351582,0.0588235294117647
logistic_regression,42,baseline_only,False,1,2,6,0.2455807159480963,0.3333333333333333
logistic_regression,42,baseline_only,False,1,3,7,0.3448791955394323,0.7142857142857143
logistic_regression,42,baseline_only,False,1,4,10,0.4351123332408913,0.8
logistic_regression,42,baseline_only,False,1,5,8,0.5534287073650848,1.0
logistic_regression,42,baseline_only,False,1,6,14,0.6479306472592016,0.7857142857142857
logistic_regression,42,baseline_only,False,1,7,18,0.7596613281677995,0.8333333333333334
logistic_regression,42,baseline_only,False,1,8,27,0.847622117406461,0.8148148148148148
logistic_regression,42,baseline_only,False,1,9,103,0.9691184460251387,0.9514563106796116
logistic_regression,42,baseline_only,False,2,0,245,0.0089603469733758,0.0163265306122449
logistic_regression,42,baseline_only,False,2,1,13,0.1401428681745933,0.2307692307692307
logistic_regression,42,baseline_only,False,2,2,7,0.242365296791934,0.1428571428571428
logistic_regression,42,baseline_only,False,2,3,9,0.3572515955221724,0.0
logistic_regression,42,baseline_only,False,2,4,3,0.446548151619659,0.0
logistic_regression,42,baseline_only,False,2,5,6,0.5667951650438328,0.1666666666666666
logistic_regression,42,baseline_only,False,2,6,1,0.6151999282555937,1.0
logistic_regression,42,baseline_only,False,2,7,1,0.7512321542408661,1.0
logistic_regression,42,baseline_only,False,2,8,5,0.8735161267795852,0.8
logistic_regression,42,baseline_only,False,2,9,56,0.9855765968366156,0.9464285714285714
random_forest,42,baseline_only,False,0,0,134,0.0288432835820895,0.0
random_forest,42,baseline_only,False,0,1,57,0.1410526315789473,0.0175438596491228
random_forest,42,baseline_only,False,0,2,40,0.235625,0.125
random_forest,42,baseline_only,False,0,3,16,0.3503125,0.1875
random_forest,42,baseline_only,False,0,4,6,0.4358333333333333,0.6666666666666666
random_forest,42,baseline_only,False,0,5,3,0.5299999999999999,0.6666666666666666
random_forest,42,baseline_only,False,0,6,4,0.67875,1.0
random_forest,42,baseline_only,False,0,7,10,0.7555000000000001,1.0
random_forest,42,baseline_only,False,0,8,40,0.8542500000000001,1.0
random_forest,42,baseline_only,False,0,9,36,0.9315277777777776,1.0
random_forest,42,baseline_only,False,1,0,53,0.0660377358490566,0.0
random_forest,42,baseline_only,False,1,1,62,0.1427419354838709,0.0161290322580645
random_forest,42,baseline_only,False,1,2,20,0.24825,0.0
random_forest,42,baseline_only,False,1,3,11,0.3559090909090909,0.0
random_forest,42,baseline_only,False,1,4,17,0.433235294117647,0.4117647058823529
random_forest,42,baseline_only,False,1,5,13,0.5492307692307692,0.6153846153846154
random_forest,42,baseline_only,False,1,6,46,0.6473913043478262,0.8260869565217391
