feature,importance,importance_std,modality
CDRSB_bl,0.4520797889747377,0.01687656907379022,cognitive
MMSE,0.21646467268240183,0.019094337065206742,cognitive
FAQ_bl,0.012981177164617353,0.0032205918843431548,cognitive
ST105SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.012698976733773293,0.0025298462241769007,mri_structural
ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.011164304031721218,0.0027057182562986535,mri_structural
ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0107758905762944,0.0031561086342289406,mri_structural
ADAS11_bl,0.009414241460640316,0.005576147708540161,cognitive
ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.008804518539711759,0.0024132553303330946,mri_structural
ST104TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007758522416435288,0.0027013545669072533,mri_structural
ST101SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007655469201891774,0.0027013183949601066,mri_structural
ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.006957892342192152,0.0034982095587347216,mri_structural
ST109SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.006726698687395194,0.00403598727440574,mri_structural
ST110TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.006075384948570184,0.0024586091235585046,mri_structural
AGE,0.006020482774855629,0.0014489846238002237,demographic
ST105TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.006006443714343357,0.0014750555322967716,mri_structural
ST113TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005805820971369902,0.003661025734372195,mri_structural
ST105CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0057037024791883216,0.0028652345774623895,mri_structural
PTEDUCAT,0.005690026580792961,0.0025999467097521803,demographic
ST106TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005229874212271213,0.0028445081783043816,mri_structural
ST102TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005146398485297743,0.0017322973159100783,mri_structural
ST109CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005145334315779571,0.002814148915380122,mri_structural
ST106TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0050433016365477815,0.0015983432251185262,mri_structural
ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004949148910727397,0.0016840149909969871,mri_structural
MOCA_bl,0.004854017828338631,0.002825080148818616,cognitive
ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0045730155059263925,0.003199029516166007,mri_structural
ST105TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004533532047569677,0.002219167056054538,mri_structural
APOE4,0.0045018433624298025,0.0028145051509468866,genetic
ST103TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004301199022102575,0.0025922957478880597,mri_structural
PTGENDER,0.004235945760075688,0.003140256285330218,demographic
ST109TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004016223938801078,0.0019123041397839647,mri_structural
ST114CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.003786926402948243,0.0003793968459214318,mri_structural
ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0037541913908119007,0.003361422697667307,mri_structural
ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.003503641557619197,0.00046923660094062565,mri_structural
ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0034548233240599747,0.0022208435326906755,mri_structural
RAVLT_learning_bl,0.0033143573285113526,0.0020037146571412847,cognitive
ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.00308773721717841,0.0027192946492217403,mri_structural
ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0030788498999552603,0.003265366509745289,mri_structural
