feature,train_missing_rate,d3_missing_rate,missing_rate_shift,kind,train_mean,train_std,d3_mean,d3_std,standardized_mean_difference,ks_statistic,psi,unseen_categories,cohort
AGE,0.0,0.0,0.0,numeric,73.78231213872833,7.181746137885763,72.71049107142856,6.857007294171592,-0.15265378615564543,0.07679345582163499,0.03306892887840654,,
PTGENDER,0.0,0.0,0.0,categorical,,,,,,,,,
PTEDUCAT,0.0,0.0,0.0,numeric,15.908670520231214,2.8562605577467965,16.247767857142858,2.6198630045880753,0.12373052313366277,0.04906585466556568,0.029898780572604436,,
MMSE,0.0,0.15959821428571427,0.15959821428571427,numeric,27.17456647398844,2.666468186218934,26.868525896414344,4.2775987596544285,-0.08586369883547622,0.07304193630103872,0.08079137911894574,,
ADAS11,0.0017341040462427746,1.0,0.9982658959537573,numeric,10.772437753329474,6.646797956953928,,,,,,,
ADAS13,0.006936416184971098,0.16629464285714285,0.15935822667217175,numeric,16.895803259604193,9.57107071071497,15.824631860776439,13.031927527632721,-0.09368948053181696,0.1353095735678453,0.13747294518183065,,
CDRSB,0.0,1.0,1.0,numeric,1.6401734104046244,1.7935295869867023,,,,,,,
RAVLT_immediate,0.002890173410404624,1.0,0.9971098265895953,numeric,35.153623188405795,12.444454076853823,,,,,,,
RAVLT_learning,0.004046242774566474,1.0,0.9959537572254336,numeric,4.185142193847939,2.719988774162386,,,,,,,
RAVLT_forgetting,0.003468208092485549,1.0,0.9965317919075144,numeric,4.332366589327147,2.4419617082404863,,,,,,,
RAVLT_perc_forgetting,0.005780346820809248,1.0,0.9942196531791907,numeric,58.553901005813955,34.49463621179316,,,,,,,
FAQ_bl,0.002890173410404624,1.0,0.9971098265895953,numeric,4.253913043478261,6.270524817665097,,,,,,,
Ventricles,0.046242774566473986,0.7912946428571429,0.7450518682906689,numeric,40288.26666666667,22658.618359609754,38990.02673796791,22167.823359286507,-0.05791948109655104,0.05964349376114081,0.04252920787095743,,
Hippocampus,0.1416184971098266,0.7555803571428571,0.6139618600330305,numeric,6787.371043771043,1185.7469271756618,6889.652968036529,1253.6256439476535,0.0838267592688246,0.08879664222129979,0.06173682320828706,,
WholeBrain,0.026589595375722544,0.7767857142857143,0.7501961189099917,numeric,1020842.0914489311,111386.08407632142,1025985.705,105827.26870944217,0.047344511484924134,0.062446555819477445,0.06045904533519299,,
Entorhinal,0.1554913294797688,0.8091517857142857,0.653660456234517,numeric,3487.6714579055442,778.8026436393147,3614.035087719298,734.1387823176123,0.1669709091758831,0.09988352126037203,0.1067029542179085,,
Fusiform,0.1554913294797688,0.8091517857142857,0.653660456234517,numeric,17306.598220396987,2751.7475674131074,18013.198830409357,2693.4579842973408,0.25951642099913497,0.16284208124692295,0.14078377811332987,,
MidTemp,0.1554913294797688,0.8091517857142857,0.653660456234517,numeric,19455.288158795345,3090.073173501328,19613.801169590643,2798.8932867871463,0.05376821198485279,0.07338160596563278,0.06973940291627659,,
ICV,0.008092485549132947,0.75,0.741907514450867,numeric,1531488.513986014,166501.38851365217,1499572.6785714286,166393.0394800573,-0.19174747932215996,0.10340700965700961,0.05564707221491419,,
APOE4,0.003468208092485549,1.0,0.9965317919075144,numeric,0.568445475638051,0.6662946778429407,,,,,,,
prediction_confidence,,,,prediction_distribution,0.9237341040462428,0.0791221270062321,,,,,,,D1_D2_training
prediction_entropy,,,,prediction_distribution,0.2450424110011794,0.1754732675866142,,,,,,,D1_D2_training
prediction_confidence,,,,prediction_distribution,0.6884542410714286,0.08827290165362617,,,,,,,D3
prediction_entropy,,,,prediction_distribution,0.775068431358744,0.10724700683175063,,,,,,,D3
