model_id,scope,horizon,n_rows,n_subjects,stable_metrics_reported,accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix
phase_c_direct_primary_compact_random_forest,row_level,overall,210,197,True,0.44285714285714284,0.34375,0.22396724722306116,0.010869565217391353,0.7240185482622964,1.127371203293817,0.7100678571428571,0.0,0.0,0.0,0.44019138755980863,1.0,0.6112956810631229,1.0,0.03125,0.06060606060606061,"[[0, 86, 0], [0, 92, 0], [0, 31, 1]]"
phase_c_direct_primary_compact_random_forest,first_follow_up,overall,197,197,True,0.43147208121827413,0.3448275862068966,0.2222222222222222,0.01129234629861986,0.7255311187642587,1.1399895369349728,0.7217703045685281,0.0,0.0,0.0,0.42857142857142855,1.0,0.6,1.0,0.034482758620689655,0.06666666666666667,"[[0, 84, 0], [0, 84, 0], [0, 28, 1]]"
phase_c_direct_primary_compact_random_forest,horizon,0-12 months,0,0,False,,,,,,,,,,,,,,,,,
phase_c_direct_primary_compact_random_forest,horizon,12-24 months,28,28,True,0.5357142857142857,0.3333333333333333,0.23255813953488372,0.0,0.7664245014245014,1.015965040111533,0.6101,0.0,0.0,0.0,0.5357142857142857,1.0,0.6976744186046512,0.0,0.0,0.0,"[[0, 10, 0], [0, 15, 0], [0, 3, 0]]"
phase_c_direct_primary_compact_random_forest,horizon,24-36 months,121,121,True,0.4628099173553719,0.34920634920634924,0.23982683982683983,0.019326683291770452,0.7183684647799481,1.088508190609218,0.678804132231405,0.0,0.0,0.0,0.4583333333333333,1.0,0.6285714285714286,1.0,0.047619047619047616,0.09090909090909091,"[[0, 45, 0], [0, 55, 0], [0, 20, 1]]"
phase_c_direct_primary_compact_random_forest,horizon,>36 months,61,61,True,0.36065573770491804,0.3333333333333333,0.17670682730923695,0.0,0.7394959769046805,1.2555973853256277,0.8179696721311476,0.0,0.0,0.0,0.36065573770491804,1.0,0.5301204819277109,0.0,0.0,0.0,"[[0, 31, 0], [0, 22, 0], [0, 8, 0]]"
phase_c_direct_sensitivity_full_hist_gradient_boosting,row_level,overall,210,197,True,0.47619047619047616,0.4166666666666667,0.34195011337868486,0.08551068883610446,0.5918180946865443,4.682229411427029,1.0473712122809151,0.0,0.0,0.0,0.45544554455445546,1.0,0.6258503401360545,1.0,0.25,0.4,"[[0, 86, 0], [0, 92, 0], [0, 24, 8]]"
phase_c_direct_sensitivity_full_hist_gradient_boosting,first_follow_up,overall,197,197,True,0.467005076142132,0.4252873563218391,0.3492723492723493,0.08880666049953745,0.593691723459804,4.747448501816181,1.0650421885516257,0.0,0.0,0.0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.27586206896551724,0.43243243243243246,"[[0, 84, 0], [0, 84, 0], [0, 21, 8]]"
phase_c_direct_sensitivity_full_hist_gradient_boosting,horizon,0-12 months,0,0,False,,,,,,,,,,,,,,,,,
phase_c_direct_sensitivity_full_hist_gradient_boosting,horizon,12-24 months,28,28,True,0.5357142857142857,0.3333333333333333,0.23255813953488372,0.0,0.6674643874643874,3.9945490515588458,0.9270588038895214,0.0,0.0,0.0,0.5357142857142857,1.0,0.6976744186046512,0.0,0.0,0.0,"[[0, 10, 0], [0, 15, 0], [0, 3, 0]]"
phase_c_direct_sensitivity_full_hist_gradient_boosting,horizon,24-36 months,121,121,True,0.5041322314049587,0.42857142857142855,0.36383442265795213,0.11355311355311348,0.6088802815118605,4.257792363772049,0.9847780367720858,0.0,0.0,0.0,0.4782608695652174,1.0,0.6470588235294118,1.0,0.2857142857142857,0.4444444444444444,"[[0, 45, 0], [0, 55, 0], [0, 15, 6]]"
phase_c_direct_sensitivity_full_hist_gradient_boosting,horizon,>36 months,61,61,True,0.39344262295081966,0.4166666666666667,0.31440329218106994,0.06231823847112594,0.5600173867520185,5.839802080977219,1.2267568134534945,0.0,0.0,0.0,0.3728813559322034,1.0,0.5432098765432098,1.0,0.25,0.4,"[[0, 31, 0], [0, 22, 0], [0, 6, 2]]"
